partij,age,gender,geo,percentage geslacht/leeftijd,percentage regio,percentage totaal
50Plus,13-17,vrouw,Drenthe,0,"4,96",0
CDA,13-17,vrouw,Drenthe,0,"8,77",0
ChristenUnie,13-17,vrouw,Drenthe,0,"4,3",0
D66,13-17,vrouw,Drenthe,0,"4,1",0
DENK,13-17,vrouw,Drenthe,0,"2,65",0
FvD,13-17,vrouw,Drenthe,"0,01","5,1",0
GroenLinks,13-17,vrouw,Drenthe,0,"2,36",0
PvdA,13-17,vrouw,Drenthe,"0,09","25,65","0,02"
PvdD,13-17,vrouw,Drenthe,"1,01","3,53","0,03"
SGP,13-17,vrouw,Drenthe,0,"1,93",0
SP,13-17,vrouw,Drenthe,0,"5,46",0
VVD,13-17,vrouw,Drenthe,0,"3,81",0
50Plus,18-24,vrouw,Drenthe,0,"4,96",0
CDA,18-24,vrouw,Drenthe,"0,89","8,77","0,04"
ChristenUnie,18-24,vrouw,Drenthe,"3,11","4,3","0,13"
D66,18-24,vrouw,Drenthe,"13,58","4,1","0,41"
DENK,18-24,vrouw,Drenthe,"6,32","2,65","0,4"
FvD,18-24,vrouw,Drenthe,"2,21","5,1","0,09"
GroenLinks,18-24,vrouw,Drenthe,"21,77","2,36","0,44"
PvdA,18-24,vrouw,Drenthe,"17,59","25,65",3
PvdD,18-24,vrouw,Drenthe,"21,32","3,53","0,55"
SGP,18-24,vrouw,Drenthe,"9,08","1,93","0,17"
SP,18-24,vrouw,Drenthe,"1,41","5,46","0,02"
VVD,18-24,vrouw,Drenthe,"5,6","3,81","0,18"
50Plus,25-34,vrouw,Drenthe,0,"4,96",0
CDA,25-34,vrouw,Drenthe,"6,09","8,77","0,29"
ChristenUnie,25-34,vrouw,Drenthe,"7,48","4,3","0,31"
D66,25-34,vrouw,Drenthe,"8,1","4,1","0,31"
DENK,25-34,vrouw,Drenthe,"5,59","2,65","0,12"
FvD,25-34,vrouw,Drenthe,"3,3","5,1","0,15"
GroenLinks,25-34,vrouw,Drenthe,"15,95","2,36","0,32"
PvdA,25-34,vrouw,Drenthe,"11,71","25,65","2,26"
PvdD,25-34,vrouw,Drenthe,"14,15","3,53","0,41"
SGP,25-34,vrouw,Drenthe,"9,39","1,93","0,18"
SP,25-34,vrouw,Drenthe,"2,11","5,46","0,06"
VVD,25-34,vrouw,Drenthe,"5,61","3,81","0,19"
50Plus,35-44,vrouw,Drenthe,0,"4,96",0
CDA,35-44,vrouw,Drenthe,"6,21","8,77","0,32"
ChristenUnie,35-44,vrouw,Drenthe,"10,65","4,3","0,44"
D66,35-44,vrouw,Drenthe,"5,61","4,1","0,18"
DENK,35-44,vrouw,Drenthe,"6,08","2,65","0,09"
FvD,35-44,vrouw,Drenthe,"3,71","5,1","0,19"
GroenLinks,35-44,vrouw,Drenthe,"5,88","2,36","0,12"
PvdA,35-44,vrouw,Drenthe,"7,68","25,65","2,32"
PvdD,35-44,vrouw,Drenthe,"6,88","3,53","0,23"
SGP,35-44,vrouw,Drenthe,"6,22","1,93","0,12"
SP,35-44,vrouw,Drenthe,"2,8","5,46","0,11"
VVD,35-44,vrouw,Drenthe,"4,86","3,81","0,19"
50Plus,45-54,vrouw,Drenthe,0,"4,96",0
CDA,45-54,vrouw,Drenthe,"7,4","8,77","0,57"
ChristenUnie,45-54,vrouw,Drenthe,"11,37","4,3","0,48"
D66,45-54,vrouw,Drenthe,"7,52","4,1","0,46"
DENK,45-54,vrouw,Drenthe,"4,66","2,65","0,01"
FvD,45-54,vrouw,Drenthe,"5,52","5,1","0,29"
GroenLinks,45-54,vrouw,Drenthe,"6,8","2,36","0,18"
PvdA,45-54,vrouw,Drenthe,"7,68","25,65","2,54"
PvdD,45-54,vrouw,Drenthe,"4,92","3,53","0,21"
SGP,45-54,vrouw,Drenthe,"5,77","1,93","0,11"
SP,45-54,vrouw,Drenthe,"5,26","5,46","0,25"
VVD,45-54,vrouw,Drenthe,"6,61","3,81","0,25"
50Plus,55-64,vrouw,Drenthe,"9,36","4,96","0,46"
CDA,55-64,vrouw,Drenthe,"7,91","8,77","0,77"
ChristenUnie,55-64,vrouw,Drenthe,"11,67","4,3","0,49"
D66,55-64,vrouw,Drenthe,"8,03","4,1","0,4"
DENK,55-64,vrouw,Drenthe,"5,54","2,65",0
FvD,55-64,vrouw,Drenthe,"7,77","5,1","0,4"
GroenLinks,55-64,vrouw,Drenthe,"5,42","2,36","0,16"
PvdA,55-64,vrouw,Drenthe,"9,32","25,65","3,21"
PvdD,55-64,vrouw,Drenthe,"5,56","3,53","0,26"
SGP,55-64,vrouw,Drenthe,"5,08","1,93","0,1"
SP,55-64,vrouw,Drenthe,"11,75","5,46","0,62"
VVD,55-64,vrouw,Drenthe,"5,76","3,81","0,27"
50Plus,65+,vrouw,Drenthe,"46,14","4,96","2,35"
CDA,65+,vrouw,Drenthe,"10,99","8,77","1,07"
ChristenUnie,65+,vrouw,Drenthe,"18,94","4,3","0,84"
D66,65+,vrouw,Drenthe,"8,75","4,1","0,4"
DENK,65+,vrouw,Drenthe,"7,22","2,65",0
FvD,65+,vrouw,Drenthe,"7,63","5,1","0,41"
GroenLinks,65+,vrouw,Drenthe,"6,42","2,36","0,23"
PvdA,65+,vrouw,Drenthe,"10,51","25,65","4,02"
