datum,partij,spend,spend_google_cum,spend_range_min,spend_range_max,spend_range_mid,spend_min_cum,spend_mid_cum,spend_max_cum,count_cum,maximum,minimum,midden,spend_max_tot,spend_min_tot,spend_mid_tot,week,maand
2020-09-01,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,CDA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,ChristenUnie,,,200,299,250,200,250,299,1,299,200,250,299,200,250,2020-36,2020-09
2020-09-01,D66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,FvD,,,0,396,198,0,198,396,4,396,0,198,396,0,198,2020-36,2020-09
2020-09-01,GroenLinks,,,600,798,699,600,699,798,2,798,600,699,798,600,699,2020-36,2020-09
2020-09-01,PvdA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-01,VVD,,,0,99,50,0,50,99,1,99,0,50,99,0,50,2020-36,2020-09
2020-09-02,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,CDA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,ChristenUnie,,,0,0,0,200,250,299,1,299,200,250,0,0,0,2020-36,2020-09
2020-09-02,D66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,FvD,,,0,396,198,0,396,792,8,792,0,396,396,0,198,2020-36,2020-09
2020-09-02,GroenLinks,,,0,99,50,600,749,897,3,897,600,749,99,0,50,2020-36,2020-09
2020-09-02,PvdA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-02,VVD,,,0,198,99,0,149,297,3,297,0,149,198,0,99,2020-36,2020-09
2020-09-03,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,CDA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,ChristenUnie,,,200,299,250,400,499,598,2,598,400,499,299,200,250,2020-36,2020-09
2020-09-03,D66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,FvD,,,0,198,99,0,495,990,10,990,0,495,198,0,99,2020-36,2020-09
2020-09-03,GroenLinks,,,200,299,250,800,998,1196,4,1196,800,998,299,200,250,2020-36,2020-09
2020-09-03,PvdA,,,0,99,50,0,50,99,1,99,0,50,99,0,50,2020-36,2020-09
2020-09-03,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-03,VVD,,,150,447,299,150,447,744,6,744,150,447,447,150,299,2020-36,2020-09
2020-09-04,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-04,CDA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-04,ChristenUnie,,,0,0,0,400,499,598,2,598,400,499,0,0,0,2020-36,2020-09
2020-09-04,D66,,,200,299,250,200,250,299,1,299,200,250,299,200,250,2020-36,2020-09
2020-09-04,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-04,FvD,,,0,297,149,0,644,1287,13,1287,0,644,297,0,149,2020-36,2020-09
2020-09-04,GroenLinks,,,0,0,0,800,998,1196,4,1196,800,998,0,0,0,2020-36,2020-09
2020-09-04,PvdA,,,0,0,0,0,50,99,1,99,0,50,0,0,0,2020-36,2020-09
2020-09-04,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-04,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-04,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-04,VVD,,,0,99,50,150,497,843,7,843,150,497,99,0,50,2020-36,2020-09
2020-09-05,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-05,CDA,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-05,ChristenUnie,,,0,0,0,400,499,598,2,598,400,499,0,0,0,2020-36,2020-09
2020-09-05,D66,,,0,0,0,200,250,299,1,299,200,250,0,0,0,2020-36,2020-09
2020-09-05,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-05,FvD,,,0,99,50,0,693,1386,14,1386,0,693,99,0,50,2020-36,2020-09
2020-09-05,GroenLinks,,,0,0,0,800,998,1196,4,1196,800,998,0,0,0,2020-36,2020-09
2020-09-05,PvdA,,,0,0,0,0,50,99,1,99,0,50,0,0,0,2020-36,2020-09
2020-09-05,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-05,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-05,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-05,VVD,,,0,0,0,150,497,843,7,843,150,497,0,0,0,2020-36,2020-09
2020-09-06,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-06,CDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-06,ChristenUnie,,,0,0,0,400,499,598,2,598,400,499,0,0,0,2020-36,2020-09
2020-09-06,D66,2450,2450,0,0,0,200,250,299,1,2749,2650,2700,2450,2450,2450,2020-36,2020-09
2020-09-06,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-06,FvD,0,0,0,0,0,0,693,1386,14,1386,0,693,0,0,0,2020-36,2020-09
2020-09-06,GroenLinks,0,0,0,0,0,800,998,1196,4,1196,800,998,0,0,0,2020-36,2020-09
2020-09-06,PvdA,0,0,0,0,0,0,50,99,1,99,0,50,0,0,0,2020-36,2020-09
2020-09-06,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-06,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-06,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-36,2020-09
2020-09-06,VVD,100,100,0,99,50,150,546,942,8,1042,250,646,199,100,150,2020-36,2020-09
2020-09-07,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-07,CDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-07,ChristenUnie,,,0,0,0,400,499,598,2,598,400,499,0,0,0,2020-37,2020-09
2020-09-07,D66,0,2450,0,0,0,200,250,299,1,2749,2650,2700,0,0,0,2020-37,2020-09
2020-09-07,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-07,FvD,0,0,0,0,0,0,693,1386,14,1386,0,693,0,0,0,2020-37,2020-09
2020-09-07,GroenLinks,0,0,0,0,0,800,998,1196,4,1196,800,998,0,0,0,2020-37,2020-09
2020-09-07,PvdA,0,0,0,0,0,0,50,99,1,99,0,50,0,0,0,2020-37,2020-09
2020-09-07,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-07,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-07,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-07,VVD,0,100,0,0,0,150,546,942,8,1042,250,646,0,0,0,2020-37,2020-09
2020-09-08,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-08,CDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-08,ChristenUnie,,,0,0,0,400,499,598,2,598,400,499,0,0,0,2020-37,2020-09
2020-09-08,D66,0,2450,0,0,0,200,250,299,1,2749,2650,2700,0,0,0,2020-37,2020-09
2020-09-08,DENK,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-08,FvD,0,0,0,99,50,0,743,1485,15,1485,0,743,99,0,50,2020-37,2020-09
2020-09-08,GroenLinks,0,0,200,299,250,1000,1248,1495,5,1495,1000,1248,299,200,250,2020-37,2020-09
2020-09-08,PvdA,0,0,0,0,0,0,50,99,1,99,0,50,0,0,0,2020-37,2020-09
2020-09-08,PvdD,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-08,SGP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-08,SP,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-08,VVD,0,100,0,693,347,150,893,1635,15,1735,250,993,693,0,347,2020-37,2020-09
2020-09-09,50Plus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-09,CDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-37,2020-09
2020-09-09,ChristenUnie,,,0,0,0,400,499,598,2,598,400,499,0,0,0,2020-37,2020-09
